Event,Date,Pack Type,trsh/door/brd/WO,Top Rating
1,10/29,Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,77
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
1,10/29,Premium Gold Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Jumbo Gold Pack,Door,77
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Jumbo Premium Gold Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Mega Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Electrum Players Pack,Door,75
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Electrum Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
